Date, Ticker, CompanyName, Open, High, Low, Close, Volume, MarketCap
2024-11-01, AAPL, Apple Inc., 174.50, 178.00, 173.25, 175.80, 76500000, 2790000000000
2024-11-01, MSFT, Microsoft Corp., 335.10, 340.00, 333.00, 337.30, 35000000, 2550000000000
2024-11-01, TSLA, Tesla Inc., 295.50, 300.20, 290.10, 298.00, 55000000, 955000000000
2024-11-01, AMZN, Amazon.com Inc., 145.30, 150.00, 143.10, 147.90, 52000000, 750000000000
2024-11-01, GOOG, Alphabet Inc., 125.40, 128.00, 124.20, 126.80, 24000000, 1730000000000
2024-11-02, AAPL, Apple Inc., 175.80, 179.20, 174.00, 177.00, 72000000, 2800000000000
2024-11-02, MSFT, Microsoft Corp., 338.00, 342.50, 336.10, 340.00, 38000000, 2560000000000
2024-11-02, TSLA, Tesla Inc., 298.20, 303.10, 295.00, 300.40, 58000000, 960000000000
2024-11-02, AMZN, Amazon.com Inc., 147.90, 151.50, 146.10, 149.30, 50000000, 755000000000
2024-11-02, GOOG, Alphabet Inc., 126.80, 130.20, 125.30, 128.50, 25000000, 1740000000000
2024-11-03, AAPL, Apple Inc., 177.00, 180.50, 175.00, 179.20, 74000000, 2810000000000
2024-11-03, MSFT, Microsoft Corp., 340.00, 345.00, 338.50, 342.30, 39000000, 2570000000000
2024-11-03, TSLA, Tesla Inc., 300.40, 305.00, 298.10, 303.20, 60000000, 965000000000
2024-11-03, AMZN, Amazon.com Inc., 149.30, 152.80, 147.50, 150.10, 51000000, 758000000000
2024-11-03, GOOG, Alphabet Inc., 128.50, 132.00, 127.20, 130.00, 26000000, 1750000000000
